,nct_id,interventions,intervention_details,Intervention_Type,Intervention_Name,ngram
15,NCT02735707,Drug: Lopinavir/ritonavir,"Drug:Lopinavir/ritonavir:Lopinavir/ritonavir 400/100mg administered enterally, or 5ml 80/20mg per mL solution suspension via gastric tube, every 12 hours. Administered for a minimum of 5 days, including if discharged from ICU prior to end of study day 5. For patients discharged from ICU between study day 6 and study day 14, lopinavir/ritonavir is ceased at ICU discharge. Lopinavir/ritonavir is ceased at the end of study day 14 if the patient remains in ICU.",Drug,Lopinavir/ritonavir,Ritonavir
16,NCT02735707,Drug: Hydroxychloroquine,"Drug:Hydroxychloroquine:Loading dose of 800mg hydroxychloroquine administered enterally every 6 hours until 2 doses have been administered. Subsequently, 400mg hydroxychloroquine will be administered enterally every 12 hours for 12 doses or ICU discharge (whichever occurs first).",Drug,Hydroxychloroquine,Hydroxychloroquine
17,NCT02735707,Drug: Hydroxychloroquine + lopinavir/ritonavir,"Drug:Hydroxychloroquine + lopinavir/ritonavir:Lopinavir/ritonavir 400/100mg administered enterally, or 5ml 80/20mg per mL solution suspension via gastric tube, every 12 hours. Administered for a minimum of 5 days, including if discharged from ICU prior to end of study day 5. For patients discharged from ICU between study day 6 and study day 14, lopinavir/ritonavir is ceased at ICU discharge. Lopinavir/ritonavir is ceased at the end of study day 14 if the patient remains in ICU. Loading dose of 800mg hydroxychloroquine administered enterally every 6 hours until 2 doses have been administered. Subsequently, 400mg hydroxychloroquine will be administered enterally every 12 hours for 12 doses or ICU discharge (whichever occurs first).",Drug,Hydroxychloroquine + lopinavir/ritonavir,Lopinavir/Ritonavir
18,NCT02735707,Drug: Interferon-β1a,"Drug:Interferon-β1a:IFN-β1a 10 μg will be administered as an intravenous bolus injection via a central or peripheral line. IFN-β1a will be administered once daily for 6 days or until ICU discharge, whichever occurs first.",Drug,Interferon-β1a,Interferon
19,NCT02735707,Drug: Anakinra,"Drug:Anakinra:A loading dose of 300mg anakinra will be administered as a bolus via central or peripheral line. This is followed by maintenance doses of 100mg of anakinra administered very 6 hours. In patients with renal impairment, anakinra will be administered on alternate days.",Drug,Anakinra,Anakinra
20,NCT02735707,Drug: Tocilizumab,"Drug:Tocilizumab:Tocilizumab will be administered as a single dose of 8mg/kg estimated or measured body weight, with a maximum total dose of 800mg. Tocilizumab will be administered as an IV infusion via central or peripheral line over a one-hour period.",Drug,Tocilizumab,Tocilizumab
21,NCT02735707,Drug: Sarilumab,"Drug:Sarilumab:Sarilumab will be administered as a single dose of 400mg, via IV infusion through peripheral or central line over a one-hour period.",Drug,Sarilumab,Sarilumab
22,NCT02735707,Drug: Vitamin C,Drug:Vitamin C:Vitamin C 50mg/kg administered IV every 6 hours for 16 doses,Drug,Vitamin C,Vitamin C
23,NCT02735707,Drug: Therapeutic anticoagulation,Drug:Therapeutic anticoagulation:Patients will be administered either low molecular weight heparin or unfractionated heparin to achieve systemic anticoagulation. Either agent may be used and the same patient may be switched between UFH and LMWH at the discretion of the treating clinician.,Drug,Therapeutic anticoagulation,Anticoagulation
24,NCT02735707,Drug: Therapeutic anticoagulation,Drug:Therapeutic anticoagulation:Patients will be administered either low molecular weight heparin or unfractionated heparin to achieve systemic anticoagulation. Either agent may be used and the same patient may be switched between UFH and LMWH at the discretion of the treating clinician.,Drug,Therapeutic anticoagulation,Therapeutic
25,NCT02735707,Drug: Simvastatin,"Drug:Simvastatin:Simvastatin 80mg administered once daily via enteral route, while the patient remains in hospital up to 28 days after randomisation",Drug,Simvastatin,Simvastatin
26,NCT02735707,Drug: Apremilast,"Drug:Apremilast:Apremilast administered 30mg twice daily for 14 days or until hospital discharge, whichever occurs first.",Drug,Apremilast,Apremilast
27,NCT02735707,Drug: Aspirin,"Drug:Aspirin:Aspiring administered at either 75mg or 100mg once per day for 14 days or until hospital discharge, whichever occurs first.",Drug,Aspirin,Aspirin
28,NCT02735707,Drug: Clopidogrel,"Drug:Clopidogrel:Clopidogrel administered 75 mg once per day for 14 days or until hospital discharge, whichever occurs first.",Drug,Clopidogrel,Clopidogrel
29,NCT02735707,Drug: Prasugrel,"Drug:Prasugrel:If patient is aged less than 75 years and measured or estimated weight if 60kg or more, and initial loading dose of prasugrel 60 mg will be administered, followed by maintenance dose of 10 mg per day. If patient's age is more than 75 years, or measured or estimated weight is less than 60kg, an initial loading dose of 60mg will be administered, followed by 5mg per day. Prasugrel will be administered for 14 days or until hospital discharge, whichever occurs first.",Drug,Prasugrel,Prasugrel
30,NCT02735707,Drug: Ticagrelor,"Drug:Ticagrelor:Ticagrelor administered enterally at 60mg twice daily for 14 days or until hospital discharge, whichever occurs first.",Drug,Ticagrelor,Ticagrelor
31,NCT03331445,Drug: Nitric Oxide 0.5 % / Nitrogen 99.5 % Gas for Inhalation,Drug:Nitric Oxide 0.5 % / Nitrogen 99.5 % Gas for Inhalation:Inhaled Nitric Oxide 160ppm balance air,Drug,Nitric Oxide 0.5 % / Nitrogen 99.5 % Gas for Inhalation,Nitrogen 99.5
32,NCT03331445,Drug: Nitric Oxide 0.5 % / Nitrogen 99.5 % Gas for Inhalation,Drug:Nitric Oxide 0.5 % / Nitrogen 99.5 % Gas for Inhalation:Inhaled Nitric Oxide 160ppm balance air,Drug,Nitric Oxide 0.5 % / Nitrogen 99.5 % Gas for Inhalation,Gas
33,NCT03331445,Drug: Nitric Oxide 0.5 % / Nitrogen 99.5 % Gas for Inhalation,Drug:Nitric Oxide 0.5 % / Nitrogen 99.5 % Gas for Inhalation:Inhaled Nitric Oxide 160ppm balance air,Drug,Nitric Oxide 0.5 % / Nitrogen 99.5 % Gas for Inhalation,Inhalation
34,NCT03376854,Drug: Neuromuscular Blocking Agents,"Drug:Neuromuscular Blocking Agents:Subjects in the TH + NMB arm will be deeply sedated using agents at the discretion of the primary ICU team, then start continuous iv infusion of either cisatracurium, atracurium, or vecuronium titrated to 2 twitches on train of four monitoring and further titrated to ablate visible shivering.",Drug,Neuromuscular Blocking Agents,Neuromuscular Blocking Agents
35,NCT03474965,Drug: Crizanlizumab,"Drug:Crizanlizumab:Crizanlizumab (SEG101) is a concentrate for solution for infusion, i.v. use. Supplied in single use 10 mL vials at a concentration of 10 mg/mL. One vial contains 100 mg of crizanlizumab.",Drug,Crizanlizumab,Crizanlizumab
36,NCT03680274,Drug: Vitamin C,"Drug:Vitamin C:Intravenous vitamin C administered in bolus doses of 50 mg/kg mixed in a 50-mL solution of either dextrose 5% in water (D5W) or normal saline (0.9% NaCl), during 30 to 60 minutes, every 6 hours for 96 hours (i.e. 200 mg/kg/day and 16 doses in total).",Drug,Vitamin C,Vitamin C
37,NCT03708718,Drug: Prednisolone 5 mg,"Drug:Prednisolone 5 mg:5mg prednisolone, once a day for 6 months",Drug,Prednisolone 5 mg,Prednisolone
38,NCT03852537,Drug: Methylprednisolone,Drug:Methylprednisolone:Methylprednisolone will be administered based on CRP-guided protocol outlined under 'Biomarker-adjusted steroid dosing'.,Drug,Methylprednisolone,Methylprednisolone
39,NCT03871491,Drug: Azithromycin,"Drug:Azithromycin:The study intervention is a single 2 g dose of directly observed oral azithromycin, to be administered as four 500 mg pills or tablets directly after randomization. By random allocation, participants will receive 2 g of oral azithromycin.",Drug,Azithromycin,Azithromycin
40,NCT03891420,Drug: Galidesivir,Drug:Galidesivir:Galidesivir IV infusion,Drug,Galidesivir,Galidesivir
41,NCT03944447,"Drug: Cannabis, Medical","Drug:Cannabis, Medical:Patients will be given medical cannabis recommendations and certifications commensurate with the state law in which the encounter occurs. The variations in mechanisms between the states for recommending, registering, certifying, and developing mandated treatment plans or doses will be adhered to; however, variations in state law and cannabis programs should not cause variation in the study design because the end-result is still the same with patients being treated with medical cannabis.",Drug,"Cannabis, Medical","Cannabis, Medical"
42,NCT04148430,Drug: Anakinra,Drug:Anakinra:100mg subcutaneous,Drug,Anakinra,Anakinra
43,NCT04244591,Drug: methylprednisolone therapy,Drug:methylprednisolone therapy:Methylprednisolone 40 mg q12h for 5 days,Drug,methylprednisolone therapy,Methylprednisolone
44,NCT04251871,"Drug: Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules","Drug:Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules:Conventional medicines: oxygen therapy, antiviral therapy (alfa interferon via aerosol inhalation, and lopinavir/ritonavir, 400mg/100mg, p.o, bid) for 14 days. Traditional Chinese Medicines (TCMs) granules: 20g, p.o, bid, for 14 days.",Drug,"Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules",Interferon
45,NCT04251871,"Drug: Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules","Drug:Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules:Conventional medicines: oxygen therapy, antiviral therapy (alfa interferon via aerosol inhalation, and lopinavir/ritonavir, 400mg/100mg, p.o, bid) for 14 days. Traditional Chinese Medicines (TCMs) granules: 20g, p.o, bid, for 14 days.",Drug,"Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules",Lopinavir/Ritonavir
46,NCT04251871,"Drug: Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules","Drug:Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules:Conventional medicines: oxygen therapy, antiviral therapy (alfa interferon via aerosol inhalation, and lopinavir/ritonavir, 400mg/100mg, p.o, bid) for 14 days. Traditional Chinese Medicines (TCMs) granules: 20g, p.o, bid, for 14 days.",Drug,"Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules",Oxygen Therapy
47,NCT04251871,"Drug: Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules","Drug:Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules:Conventional medicines: oxygen therapy, antiviral therapy (alfa interferon via aerosol inhalation, and lopinavir/ritonavir, 400mg/100mg, p.o, bid) for 14 days. Traditional Chinese Medicines (TCMs) granules: 20g, p.o, bid, for 14 days.",Drug,"Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules",Medicines
48,NCT04251871,"Drug: Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules","Drug:Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules:Conventional medicines: oxygen therapy, antiviral therapy (alfa interferon via aerosol inhalation, and lopinavir/ritonavir, 400mg/100mg, p.o, bid) for 14 days. Traditional Chinese Medicines (TCMs) granules: 20g, p.o, bid, for 14 days.",Drug,"Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules",Inhalation
49,NCT04252274,Drug: Darunavir and Cobicistat,"Drug:Darunavir and Cobicistat:Subjects take darunavir and cobicistat one tablet per day for 5 days, also take conventional treatments",Drug,Darunavir and Cobicistat,Darunavir
50,NCT04252274,Drug: Darunavir and Cobicistat,"Drug:Darunavir and Cobicistat:Subjects take darunavir and cobicistat one tablet per day for 5 days, also take conventional treatments",Drug,Darunavir and Cobicistat,Cobicistat
51,NCT04252664,Drug: Remdesivir,"Drug:Remdesivir:RDV 200 mg loading dose on day 1 is given, followed by 100 mg iv once-daily maintenance doses for 9 days.",Drug,Remdesivir,Remdesivir
52,NCT04254874,Drug: Abidol Hydrochloride combined with Interferon atomization,"Drug:Abidol Hydrochloride combined with Interferon atomization:Abidol Hydrochloride:0.2g once, 3 times a day,two weeks; Interferon(PegIFN-α-2b) atomization:45ug, add to sterile water 2ml, twice a day,two weeks",Drug,Abidol Hydrochloride combined with Interferon atomization,Hydrochloride
53,NCT04254874,Drug: Abidol Hydrochloride combined with Interferon atomization,"Drug:Abidol Hydrochloride combined with Interferon atomization:Abidol Hydrochloride:0.2g once, 3 times a day,two weeks; Interferon(PegIFN-α-2b) atomization:45ug, add to sterile water 2ml, twice a day,two weeks",Drug,Abidol Hydrochloride combined with Interferon atomization,Interferon
54,NCT04255017,Drug: Abidol hydrochloride,"Drug:Abidol hydrochloride:Abidol hydrochloride (0.2g once, 3 times a day,2 weeks)was added on the basis of group I.",Drug,Abidol hydrochloride,Hydrochloride
55,NCT04255017,Drug: Oseltamivir,"Drug:Oseltamivir:Oseltamivir(75mg once, twice a day,2 weeks) was added on the basis of group I.",Drug,Oseltamivir,Oseltamivir
56,NCT04255017,Drug: Lopinavir/ritonavir,"Drug:Lopinavir/ritonavir:Lopinavir/ritonavir (500mg once, twice a day,2 weeks)was added on the basis of group I.",Drug,Lopinavir/ritonavir,Lopinavir
57,NCT04255017,Drug: Lopinavir/ritonavir,"Drug:Lopinavir/ritonavir:Lopinavir/ritonavir (500mg once, twice a day,2 weeks)was added on the basis of group I.",Drug,Lopinavir/ritonavir,Ritonavir
58,NCT04257656,Drug: Remdesivir,"Drug:Remdesivir:RDV 200 mg loading dose on day 1 is given, followed by 100 mg iv once-daily maintenance doses for 9 days.",Drug,Remdesivir,Remdesivir
59,NCT04261270,Drug: Oseltamivir,"Drug:Oseltamivir:75mg ,once a day",Drug,Oseltamivir,Oseltamivir
60,NCT04261426,Drug: Intravenous Immunoglobulin,Drug:Intravenous Immunoglobulin:IVIG 0.5g/kg/d for 5 days,Drug,Intravenous Immunoglobulin,Intravenous Immunoglobulin
61,NCT04261517,Drug: Hydroxychloroquine,"Drug:Hydroxychloroquine:Subjects take hydroxychloroquine 400 mg per day for 5 days, also take conventional treatments",Drug,Hydroxychloroquine,Hydroxychloroquine
62,NCT04261907,Drug: ASC09/ritonavir group,"Drug:ASC09/ritonavir group:ASC09/ritonavir(300mg/100mg tablet), one tablet each time, twice daily, for 14 days, +conventional standardized treatment",Drug,ASC09/ritonavir group,Ritonavir
63,NCT04261907,Drug: lopinavir/ritonavir group,"Drug:lopinavir/ritonavir group:Lopinavir/ritonavir tablets(200mg / 50mg tablet), two tablets each time, twice daily, for 14 days, +conventional standardized treatment",Drug,lopinavir/ritonavir group,Lopinavir/Ritonavir
64,NCT04263402,Drug: Methylprednisolone,"Drug:Methylprednisolone:Patients in the Group I will receive basic symptomatic supportive treatment,plus methylprednisolone(<40mg/d intravenous drip for 7 days).",Drug,Methylprednisolone,Methylprednisolone
65,NCT04264533,Drug: Sterile Water for Injection,Drug:Sterile Water for Injection:50ml sterile water for injection will be infused in the placebo comparator group twice a day for 7 days by the infusion pump with a speed of 12ml/h.,Drug,Sterile Water for Injection,Sterile Water For Injection
66,NCT04264858,Drug: Immunoglobulin of cured patients,"Drug:Immunoglobulin of cured patients:0.2g/kg, ivdrip, once a day, for 3 days",Drug,Immunoglobulin of cured patients,Immunoglobulin
67,NCT04264858,Drug: γ-Globulin,"Drug:γ-Globulin:0.2g/kg, ivdrip, once a day, for 3 days",Drug,γ-Globulin,Globulin
68,NCT04273321,Drug: Methylprednisolone,Drug:Methylprednisolone:Methylprednisolone 1mg/kg/day ivgtt for 7 days.,Drug,Methylprednisolone,Methylprednisolone
69,NCT04273529,Drug: thalidomide,Drug:thalidomide:100mg，po，qn，for 14 days.,Drug,thalidomide,Thalidomide
70,NCT04273581,Drug: Thalidomide,Drug:Thalidomide:100mg/d，qn，for 14 days.,Drug,Thalidomide,Thalidomide
71,NCT04273763,Drug: Bromhexine Hydrochloride Tablets,Drug:Bromhexine Hydrochloride Tablets:Bromhexine Hydrochloride Tablets,Drug,Bromhexine Hydrochloride Tablets,Hydrochloride
72,NCT04273763,Drug: Bromhexine Hydrochloride Tablets,Drug:Bromhexine Hydrochloride Tablets:Bromhexine Hydrochloride Tablets,Drug,Bromhexine Hydrochloride Tablets,Bromhexine
73,NCT04273763,Drug: Recombinant Human Interferon α2b Spray,Drug:Recombinant Human Interferon α2b Spray:Standard treatment refers to the latest edition of Pneumonia Diagnosis and Treatment Scheme for Novel Coronavirus Infection.,Drug,Recombinant Human Interferon α2b Spray,Interferon
74,NCT04275414,Drug: Bevacizumab Injection,"Drug:Bevacizumab Injection:Bevacizumab 500mg + normal saline (NS) 100ml, ivdrip ≥90min",Drug,Bevacizumab Injection,Bevacizumab Injection
75,NCT04276688,Drug: Lopinavir/ritonavir,Drug:Lopinavir/ritonavir:400mg/100mg twice daily for 14 days,Drug,Lopinavir/ritonavir,Lopinavir
76,NCT04276688,Drug: Lopinavir/ritonavir,Drug:Lopinavir/ritonavir:400mg/100mg twice daily for 14 days,Drug,Lopinavir/ritonavir,Ritonavir
77,NCT04276688,Drug: Ribavirin,Drug:Ribavirin:400mg twice daily for 14 days,Drug,Ribavirin,Ribavirin
78,NCT04276688,Drug: Interferon Beta-1B,Drug:Interferon Beta-1B:0.25mg subcutaneous injection alternate day for 3 days,Drug,Interferon Beta-1B,Interferon
79,NCT04279197,Drug: Vitamin C tablets,"Drug:Vitamin C tablets:Vitamin C tablets, administration: 0.2g/time, 3 times/ day, oral；",Drug,Vitamin C tablets,Vitamin C
80,NCT04280588,Drug: Fingolimod 0.5 mg,"Drug:Fingolimod 0.5 mg:Each patient in the fingolimod treatment group was given 0.5 mg of fingolimod orally once daily, for three consecutive days",Drug,Fingolimod 0.5 mg,Fingolimod
81,NCT04280705,Drug: Remdesivir,"Drug:Remdesivir:Drug Remdesivir is a single diastereomer monophosphoramidate prodrug designed for the intracellular delivery of a modified adenine nucleoside analog GS-441524. In addition to the active ingredient, the lyophilized formulation of Remdesivir contains the following inactive ingredients: water for injection, sulfobutylether beta-cyclodextrin sodium (SBECD), and hydrochloric acid and/or sodium hydroxide.",Drug,Remdesivir,Remdesivir
82,NCT04286503,Drug: lopinavir/ritonavir tablets or Arbidol or chloroquine phosphate,Drug:lopinavir/ritonavir tablets or Arbidol or chloroquine phosphate:lopinavir/ritonavir tablets or Arbidol or chloroquine phosphate,Drug,lopinavir/ritonavir tablets or Arbidol or chloroquine phosphate,Lopinavir/Ritonavir
83,NCT04286503,Drug: lopinavir/ritonavir tablets or Arbidol or chloroquine phosphate,Drug:lopinavir/ritonavir tablets or Arbidol or chloroquine phosphate:lopinavir/ritonavir tablets or Arbidol or chloroquine phosphate,Drug,lopinavir/ritonavir tablets or Arbidol or chloroquine phosphate,Chloroquine Phosphate
84,NCT04287686,Drug: Recombinant human angiotensin-converting enzyme 2 (rhACE2),"Drug:Recombinant human angiotensin-converting enzyme 2 (rhACE2):In this study, the experimental group will receive 0.4 mg/kg rhACE2 IV BID for 7 days.",Drug,Recombinant human angiotensin-converting enzyme 2 (rhACE2),Angiotensin
85,NCT04290871,Drug: Nitric Oxide Gas,"Drug:Nitric Oxide Gas:Inspired NO will be delivered at 80 parts per million (ppm) in the first 48 hours of enrollment. After that, NO levels will be decreased to 40 ppm until severe hypoxia resolves. Weaning from NO will start when patients improves the level of oxygenation to a PaO2/FiO2 > 300 mmHg or SpO2 > 93% for more than 24 hours consecutively. Physician will follow their own institutional weaning protocols. In the absence of institutional protocols, NO will be reduced every 4 hours in step-wise fashion starting from 40 ppm to 20, 10, 5, 3, 2 and 1 ppm.",Drug,Nitric Oxide Gas,Gas
86,NCT04291053,Drug: Huaier Granule,Drug:Huaier Granule:standard treatment + Huaier Granule 20g po tid for 2weeks,Drug,Huaier Granule,Huaier Granule
87,NCT04291729,Drug: Ganovo+ritonavir+/-Interferon nebulization,"Drug:Ganovo+ritonavir+/-Interferon nebulization:Ganovo one tablet (100mg / tablet) at a time, twice a day, up to 14 days. Ritonavir one tablet(100mg / tablet) at a time, twice a day, up to 14 days.With or without spray inhalation of interferon, 50μg / time for adults, twice a day up to 14 days.",Drug,Ganovo+ritonavir+/-Interferon nebulization,Nebulization
88,NCT04292730,Drug: Remdesivir,Drug:Remdesivir:Administered as an intravenous infusion,Drug,Remdesivir,Remdesivir
89,NCT04292899,Drug: Remdesivir,Drug:Remdesivir:Administered as an intravenous infusion,Drug,Remdesivir,Remdesivir
90,NCT04293887,Drug: Recombinant human interferon α1β,Drug:Recombinant human interferon α1β:Saline needle 2ml + recombinant human interferon α1β10ug bid nebulization inhalation,Drug,Recombinant human interferon α1β,Interferon
91,NCT04295551,Drug: Lopinavir / ritonavir tablets combined with Xiyanping injection,"Drug:Lopinavir / ritonavir tablets combined with Xiyanping injection:Xiyanping injection, 10-20ml daily, Qd, the maximum daily does not exceed 500mg (20mL) + Lopinavir tablet or Ritonavir tablet+Alpha-interferon nebulization, for 7-14 days,",Drug,Lopinavir / ritonavir tablets combined with Xiyanping injection,Lopinavir
92,NCT04295551,Drug: Lopinavir / ritonavir tablets combined with Xiyanping injection,"Drug:Lopinavir / ritonavir tablets combined with Xiyanping injection:Xiyanping injection, 10-20ml daily, Qd, the maximum daily does not exceed 500mg (20mL) + Lopinavir tablet or Ritonavir tablet+Alpha-interferon nebulization, for 7-14 days,",Drug,Lopinavir / ritonavir tablets combined with Xiyanping injection,Ritonavir
93,NCT04303507,Drug: Chloroquine or Hydroxychloroquine,Drug:Chloroquine or Hydroxychloroquine:A loading dose of 10 mg base/ kg followed by 155 mg daily (250mg chloroquine phosphate salt or 200mg of or hydroxychloroquine sulphate) will be taken for 3 months,Drug,Chloroquine or Hydroxychloroquine,Chloroquine
94,NCT04303507,Drug: Chloroquine or Hydroxychloroquine,Drug:Chloroquine or Hydroxychloroquine:A loading dose of 10 mg base/ kg followed by 155 mg daily (250mg chloroquine phosphate salt or 200mg of or hydroxychloroquine sulphate) will be taken for 3 months,Drug,Chloroquine or Hydroxychloroquine,Hydroxychloroquine
95,NCT04304053,Drug: Treatment and prophylaxis,"Drug:Treatment and prophylaxis:Cases will be offered a therapeutic regimen hydroxychloroquine (200mg tablets) 800mg on day 1, and 400mg on days 2-7 Contacts will be offered a prophylactic regimen of hydroxychloroquine (200mg tablets) 800mg on day 1, and 400mg on days 2-7.",Drug,Treatment and prophylaxis,Prophylaxis
96,NCT04304313,Drug: Sildenafil citrate tablets,Drug:Sildenafil citrate tablets:0.1g/day for 14 days,Drug,Sildenafil citrate tablets,Sildenafil Citrate
97,NCT04305106,Drug: Bevacizumab,"Drug:Bevacizumab:Bevacizumab 7.5mg/kg body weight + 0.9% NaCl 100ml, intravenous drip",Drug,Bevacizumab,Bevacizumab
98,NCT04306393,Drug: Nitric Oxide Gas,"Drug:Nitric Oxide Gas:80 ppm of inhaled nitric oxide for 48 hours, followed by 40 ppm, followed by weaning before stop. Weaning criteria: maintenance of a PaO2/FiO2 ratio >/= 300 for at least 24 hours consecutively.",Drug,Nitric Oxide Gas,Gas
99,NCT04307693,Drug: Lopinavir/ritonavir,Drug:Lopinavir/ritonavir:Lopinavir / Ritonavir tablet,Drug,Lopinavir/ritonavir,Lopinavir
100,NCT04307693,Drug: Lopinavir/ritonavir,Drug:Lopinavir/ritonavir:Lopinavir / Ritonavir tablet,Drug,Lopinavir/ritonavir,Ritonavir
101,NCT04307693,Drug: Hydroxychloroquine sulfate,Drug:Hydroxychloroquine sulfate:Hydroxychloroquine sulfate tablet,Drug,Hydroxychloroquine sulfate,Hydroxychloroquine
